date,mean_wind_speed_kph,max_hourly_mean_wind_speed_kph,min_hourly_mean_wind_speed_kph,high_ten_min_mean_wind_speed_kph,wind_direction_at_max_ten_min_mean_deg,highest_gust_speed_kph
2016-03-19,11.1,14.816,7.408,16.65,60,25.9
2016-03-20,7.58,14.816,1.852,18.5,300,24.05
2016-03-21,5.37,11.112,1.852,12.95,290,20.35
2016-03-22,7.58,12.964,3.704,14.8,170,22.2
2016-03-23,13.51,22.224,5.556,29.6,200,42.55
2016-03-24,19.24,27.78,11.112,33.3,190,49.95
2016-03-25,24.61,42.596,7.408,48.1,190,74
2016-03-26,21.46,46.3,7.408,53.65,240,81.4
2016-03-27,17.94,29.632,5.556,33.3,200,53.65
2016-03-28,12.21,18.52,3.704,22.2,230,31.45
2016-03-29,12.39,22.224,5.556,25.9,180,44.4
2016-03-30,14.06,24.076,5.556,29.6,260,49.95
2016-03-31,14.62,27.78,3.704,29.6,230,44.4
2016-04-01,21.83,35.188,7.408,38.85,160,57.35
2016-04-02,11.1,18.52,3.704,22.2,60,31.45
2016-04-03,8.14,11.112,3.704,12.95,160,18.5
2016-04-04,10.92,22.224,3.704,25.9,0,38.85
2016-04-05,15.36,25.928,3.704,31.45,270,46.25
2016-04-06,27.56,35.188,16.668,51.8,270,83.25
2016-04-07,19.24,27.78,7.408,33.3,310,55.5
2016-04-08,16.28,29.632,7.408,35.15,300,51.8
2016-04-09,7.96,14.816,3.704,20.35,310,29.6
2016-04-10,27.56,40.744,9.26,44.4,80,66.6
2016-04-11,20.91,27.78,5.556,31.45,70,48.1
2016-04-12,8.88,12.964,3.704,16.65,40,22.2
